email_id,tag,type,start,end,text
msg_086,DATE_TIME,MISSED_BY_PRESIDIO,379,416,"Fri, 24 Jan 2025 20:25:25 +0000 (UTC)"
msg_086,DATE_TIME,MISSED_BY_PRESIDIO,742,779,"Fri, 24 Jan 2025 20:25:23 +0000 (UTC)"
msg_086,DATE_TIME,MISSED_BY_PRESIDIO,826,852,24 Jan 2025 20:25:19 -0000
msg_086,DATE_TIME,MISSED_BY_PRESIDIO,1205,1231,24 Jan 2025 20:25:18 -0000
msg_086,DATE_TIME,MISSED_BY_PRESIDIO,1369,1400,"Fri, 24 Jan 2025 20:25:17 +0000"
msg_086,DATE_TIME,MISSED_BY_PRESIDIO,1631,1668,"Fri, 24 Jan 2025 20:25:17 +0000 (UTC)"
msg_086,DATE_TIME,MISSED_BY_PRESIDIO,2390,2427,"Fri, 24 Jan 2025 20:25:17 +0000 (UTC)"
msg_086,DATE_TIME,MISSED_BY_PRESIDIO,2805,2842,"Fri, 24 Jan 2025 20:25:16 +0000 (UTC)"
msg_086,DATE_TIME,MISSED_BY_PRESIDIO,2971,3008,"Fri, 24 Jan 2025 12:25:16 -0800 (PST)"
msg_086,DATE_TIME,MISSED_BY_PRESIDIO,5119,5150,"Fri, 24 Jan 2025 12:24:57 -0800"
msg_086,DATE_TIME,MISSED_BY_PRESIDIO,5010,5048,"Fri, 24 Jan 2025
 12:25:09 -0800 (PST)"
msg_086,EMAIL_ADDRESS,MISSED_BY_PRESIDIO,2549,2572,dongjoon.hyun@gmail.com
msg_086,ORGANIZATION,MISSED_BY_PRESIDIO,76,82,apache
msg_086,ORGANIZATION,MISSED_BY_PRESIDIO,220,226,apache
msg_086,ORGANIZATION,MISSED_BY_PRESIDIO,246,252,apache
msg_086,ORGANIZATION,MISSED_BY_PRESIDIO,462,468,apache
msg_086,ORGANIZATION,MISSED_BY_PRESIDIO,437,443,apache
msg_086,ORGANIZATION,MISSED_BY_PRESIDIO,612,618,apache
msg_086,ORGANIZATION,MISSED_BY_PRESIDIO,657,663,apache
msg_086,ORGANIZATION,MISSED_BY_PRESIDIO,890,896,apache
msg_086,ORGANIZATION,MISSED_BY_PRESIDIO,1026,1032,apache
msg_086,ORGANIZATION,MISSED_BY_PRESIDIO,966,972,apache
