sample,email_id,annotation_id,start,end,entity_type,text,score
apache_spark,msg_086,msg_086_0,16,86,EMAIL_ADDRESS,dev-return-37404-archive-asf-public=cust-asf.ponee.io@spark.apache.org,1.0
apache_spark,msg_086,msg_086_1,103,139,EMAIL_ADDRESS,archive-asf-public@cust-asf.ponee.io,1.0
apache_spark,msg_086,msg_086_2,154,190,EMAIL_ADDRESS,archive-asf-public@cust-asf.ponee.io,1.0
apache_spark,msg_086,msg_086_3,339,375,EMAIL_ADDRESS,archive-asf-public@cust-asf.ponee.io,1.0
apache_spark,msg_086,msg_086_4,702,738,EMAIL_ADDRESS,archive-asf-public@cust-asf.ponee.io,1.0
apache_spark,msg_086,msg_086_5,875,900,EMAIL_ADDRESS,dev-help@spark.apache.org,1.0
apache_spark,msg_086,msg_086_6,951,976,EMAIL_ADDRESS,dev-help@spark.apache.org,1.0
apache_spark,msg_086,msg_086_7,1004,1036,EMAIL_ADDRESS,dev-unsubscribe@spark.apache.org,1.0
apache_spark,msg_086,msg_086_8,1057,1077,EMAIL_ADDRESS,dev@spark.apache.org,1.0
apache_spark,msg_086,msg_086_9,1138,1158,EMAIL_ADDRESS,dev@spark.apache.org,1.0
apache_spark,msg_086,msg_086_10,1608,1628,EMAIL_ADDRESS,dev@spark.apache.org,1.0
apache_spark,msg_086,msg_086_11,2366,2386,EMAIL_ADDRESS,dev@spark.apache.org,1.0
apache_spark,msg_086,msg_086_12,2535,2572,EMAIL_ADDRESS,envelope-from=dongjoon.hyun@gmail.com,1.0
apache_spark,msg_086,msg_086_13,2782,2802,EMAIL_ADDRESS,dev@spark.apache.org,1.0
apache_spark,msg_086,msg_086_14,2948,2968,EMAIL_ADDRESS,dev@spark.apache.org,1.0
apache_spark,msg_086,msg_086_15,5088,5111,EMAIL_ADDRESS,dongjoon.hyun@gmail.com,1.0
apache_spark,msg_086,msg_086_16,5245,5311,EMAIL_ADDRESS,CAFu6yH1KUAv52MhqBCKmv64dB60UWqWAzu--pjsT5Vjy=ZCcKA@mail.gmail.com,1.0
apache_spark,msg_086,msg_086_17,5396,5416,EMAIL_ADDRESS,dev@spark.apache.org,1.0
apache_spark,msg_086,msg_086_18,2487,2501,IP_ADDRESS,209.85.166.173,0.95
apache_spark,msg_086,msg_086_19,384,395,DATE_TIME,24 Jan 2025,0.85
apache_spark,msg_086,msg_086_20,747,758,DATE_TIME,24 Jan 2025,0.85
apache_spark,msg_086,msg_086_21,759,767,DATE_TIME,20:25:23,0.85
apache_spark,msg_086,msg_086_22,826,837,DATE_TIME,24 Jan 2025,0.85
apache_spark,msg_086,msg_086_23,1205,1216,DATE_TIME,24 Jan 2025,0.85
apache_spark,msg_086,msg_086_24,1217,1225,DATE_TIME,20:25:18,0.85
apache_spark,msg_086,msg_086_25,1369,1373,DATE_TIME,"Fri,",0.85
apache_spark,msg_086,msg_086_26,1374,1385,DATE_TIME,24 Jan 2025,0.85
apache_spark,msg_086,msg_086_27,1386,1394,DATE_TIME,20:25:17,0.85
apache_spark,msg_086,msg_086_28,1631,1635,DATE_TIME,"Fri,",0.85
apache_spark,msg_086,msg_086_29,1636,1647,DATE_TIME,24 Jan 2025,0.85
apache_spark,msg_086,msg_086_30,1648,1662,DATE_TIME,20:25:17 +0000,0.85
apache_spark,msg_086,msg_086_31,1686,1692,NRP,Debian,0.85
apache_spark,msg_086,msg_086_32,1883,1901,LOCATION,DKIM_VALID_AU=-0.1,0.85
apache_spark,msg_086,msg_086_33,1942,1969,LOCATION,RCVD_IN_DNSWL_BLOCKED=0.001,0.85
apache_spark,msg_086,msg_086_34,2326,2331,DATE_TIME,10024,0.85
apache_spark,msg_086,msg_086_35,2395,2406,DATE_TIME,24 Jan 2025,0.85
apache_spark,msg_086,msg_086_36,2407,2421,DATE_TIME,20:25:17 +0000,0.85
apache_spark,msg_086,msg_086_37,2805,2809,DATE_TIME,"Fri,",0.85
apache_spark,msg_086,msg_086_38,2810,2821,DATE_TIME,24 Jan 2025,0.85
apache_spark,msg_086,msg_086_39,2971,2975,DATE_TIME,"Fri,",0.85
apache_spark,msg_086,msg_086_40,2976,2987,DATE_TIME,24 Jan 2025,0.85
apache_spark,msg_086,msg_086_41,3096,3108,LOCATION,t=1737750310,0.85
apache_spark,msg_086,msg_086_42,3110,3122,PERSON,x=1738355110,0.85
apache_spark,msg_086,msg_086_43,3635,3703,NRP,Pb1Nd2TVwTHlFhFpjyUjkyIt3NjppUlK1vF0dVCEdshhUQY4XKs5AtYp1lGnamTI3Dfv,0.85
apache_spark,msg_086,msg_086_44,3816,3828,LOCATION,t=1737750310,0.85
apache_spark,msg_086,msg_086_45,3830,3842,PERSON,x=1738355110,0.85
apache_spark,msg_086,msg_086_46,4904,4908,DATE_TIME,2002,0.85
apache_spark,msg_086,msg_086_47,5010,5014,DATE_TIME,"Fri,",0.85
