email_id,tag,start,end,text
msg_086,EMAIL_ADDRESS,2535,2572,envelope-from=dongjoon.hyun@gmail.com
msg_086,DATE_TIME,384,395,24 Jan 2025
msg_086,DATE_TIME,747,758,24 Jan 2025
msg_086,DATE_TIME,759,767,20:25:23
msg_086,DATE_TIME,826,837,24 Jan 2025
msg_086,DATE_TIME,1205,1216,24 Jan 2025
msg_086,DATE_TIME,1217,1225,20:25:18
msg_086,DATE_TIME,1369,1373,"Fri,"
msg_086,DATE_TIME,1374,1385,24 Jan 2025
msg_086,DATE_TIME,1386,1394,20:25:17
msg_086,DATE_TIME,1631,1635,"Fri,"
msg_086,DATE_TIME,1636,1647,24 Jan 2025
msg_086,DATE_TIME,1648,1662,20:25:17 +0000
msg_086,NRP,1686,1692,Debian
msg_086,LOCATION,1883,1901,DKIM_VALID_AU=-0.1
msg_086,LOCATION,1942,1969,RCVD_IN_DNSWL_BLOCKED=0.001
msg_086,DATE_TIME,2326,2331,10024
msg_086,DATE_TIME,2395,2406,24 Jan 2025
msg_086,DATE_TIME,2407,2421,20:25:17 +0000
msg_086,DATE_TIME,2805,2809,"Fri,"
msg_086,DATE_TIME,2810,2821,24 Jan 2025
msg_086,DATE_TIME,2971,2975,"Fri,"
msg_086,DATE_TIME,2976,2987,24 Jan 2025
msg_086,LOCATION,3096,3108,t=1737750310
msg_086,PERSON,3110,3122,x=1738355110
msg_086,NRP,3635,3703,Pb1Nd2TVwTHlFhFpjyUjkyIt3NjppUlK1vF0dVCEdshhUQY4XKs5AtYp1lGnamTI3Dfv
msg_086,LOCATION,3816,3828,t=1737750310
msg_086,PERSON,3830,3842,x=1738355110
msg_086,DATE_TIME,4904,4908,2002
msg_086,DATE_TIME,5010,5014,"Fri,"
msg_086,DATE_TIME,5015,5026,24 Jan 2025
msg_086,DATE_TIME,5124,5135,24 Jan 2025
msg_086,DATE_TIME,5136,5144,12:24:57
msg_086,NRP,5367,5374,Connect
msg_086,PHONE_NUMBER,258,272,[3.227.148.255
msg_086,PHONE_NUMBER,473,489,[116.203.246.181
msg_086,PHONE_NUMBER,1309,1325,(116.203.196.100
msg_086,PHONE_NUMBER,2287,2303,[116.203.196.100
msg_086,PHONE_NUMBER,3098,3108,1737750310
msg_086,PHONE_NUMBER,3112,3122,1738355110
msg_086,PHONE_NUMBER,3818,3828,1737750310
msg_086,PHONE_NUMBER,3832,3842,1738355110
msg_086,US_DRIVER_LICENSE,2518,2522,f173
msg_086,US_DRIVER_LICENSE,2619,2623,f173
msg_086,US_DRIVER_LICENSE,2645,2649,f173
msg_086,US_DRIVER_LICENSE,2865,2869,f173
msg_086,US_DRIVER_LICENSE,4909,4912,a05
msg_086,US_DRIVER_LICENSE,4923,4925,b0
msg_086,US_BANK_NUMBER,3086,3094,20230601
msg_086,US_BANK_NUMBER,3098,3108,1737750310
msg_086,US_BANK_NUMBER,3112,3122,1738355110
msg_086,US_BANK_NUMBER,3806,3814,20230601
msg_086,US_BANK_NUMBER,3818,3828,1737750310
msg_086,US_BANK_NUMBER,3832,3842,1738355110
msg_086,US_BANK_NUMBER,4995,5008,1737750309696
msg_086,US_DRIVER_LICENSE,797,804,3565692
msg_086,US_DRIVER_LICENSE,1176,1183,3565646
msg_086,US_DRIVER_LICENSE,3086,3094,20230601
msg_086,US_DRIVER_LICENSE,3098,3108,1737750310
msg_086,US_DRIVER_LICENSE,3112,3122,1738355110
msg_086,US_DRIVER_LICENSE,3806,3814,20230601
msg_086,US_DRIVER_LICENSE,3818,3828,1737750310
msg_086,US_DRIVER_LICENSE,3832,3842,1738355110
msg_086,US_DRIVER_LICENSE,4995,5008,1737750309696
msg_033,EMAIL_ADDRESS,2661,2698,envelope-from=dongjoon.hyun@gmail.com
msg_033,DATE_TIME,382,393,15 Jan 2025
msg_033,DATE_TIME,394,408,08:30:28 +0000
msg_033,LOCATION,487,490,c2c
msg_033,DATE_TIME,835,846,15 Jan 2025
msg_033,DATE_TIME,847,861,08:29:08 +0000
msg_033,DATE_TIME,914,925,15 Jan 2025
msg_033,DATE_TIME,1264,1271,2508440
msg_033,DATE_TIME,1293,1304,15 Jan 2025
msg_033,DATE_TIME,1461,1472,15 Jan 2025
msg_033,PERSON,1473,1481,08:29:03
msg_033,DATE_TIME,1722,1733,15 Jan 2025
msg_033,PERSON,1734,1742,08:29:03
msg_033,NRP,1772,1778,Debian
msg_033,LOCATION,1977,1995,DKIM_VALID_AU=-0.1
msg_033,LOCATION,2036,2063,RCVD_IN_DNSWL_BLOCKED=0.001
msg_033,NRP,2167,2182,SPF_PASS=-0.001
msg_033,DATE_TIME,2452,2457,10024
msg_033,DATE_TIME,2521,2532,15 Jan 2025
msg_033,DATE_TIME,2533,2541,08:29:01
msg_033,DATE_TIME,2936,2947,15 Jan 2025
msg_033,DATE_TIME,2948,2956,08:29:01
msg_033,DATE_TIME,3101,3112,15 Jan 2025
msg_033,DATE_TIME,5194,5198,2002
msg_033,DATE_TIME,5305,5316,15 Jan 2025
msg_033,DATE_TIME,6491,6502,15 Jan 2025
msg_033,IP_ADDRESS,478,497,2a01:4f8:c2c:d4aa::
msg_033,PHONE_NUMBER,256,270,[95.216.194.37
msg_033,PHONE_NUMBER,932,940,04 -0000
msg_033,PHONE_NUMBER,1311,1319,03 -0000
msg_033,PHONE_NUMBER,3223,3233,1736929735
msg_033,PHONE_NUMBER,3237,3247,1737534535
msg_033,PHONE_NUMBER,3969,3979,1736929735
msg_033,PHONE_NUMBER,3983,3993,1737534535
msg_033,US_DRIVER_LICENSE,582,588,X25519
msg_033,US_DRIVER_LICENSE,2644,2648,f177
msg_033,US_DRIVER_LICENSE,2745,2749,f177
msg_033,US_DRIVER_LICENSE,2771,2775,f177
msg_033,US_DRIVER_LICENSE,2991,2995,f177
msg_033,US_DRIVER_LICENSE,5199,5202,a05
msg_033,US_DRIVER_LICENSE,5213,5215,b0
msg_033,US_BANK_NUMBER,3211,3219,20230601
msg_033,US_BANK_NUMBER,3223,3233,1736929735
msg_033,US_BANK_NUMBER,3237,3247,1737534535
msg_033,US_BANK_NUMBER,3957,3965,20230601
msg_033,US_BANK_NUMBER,3969,3979,1736929735
msg_033,US_BANK_NUMBER,3983,3993,1737534535
msg_033,US_BANK_NUMBER,5285,5298,1736929735183
msg_033,US_DRIVER_LICENSE,885,892,2508488
msg_033,US_DRIVER_LICENSE,1264,1271,2508440
msg_033,US_DRIVER_LICENSE,3211,3219,20230601
msg_033,US_DRIVER_LICENSE,3223,3233,1736929735
msg_033,US_DRIVER_LICENSE,3237,3247,1737534535
msg_033,US_DRIVER_LICENSE,3957,3965,20230601
msg_033,US_DRIVER_LICENSE,3969,3979,1736929735
msg_033,US_DRIVER_LICENSE,3983,3993,1737534535
msg_033,US_DRIVER_LICENSE,5285,5298,1736929735183
msg_066,EMAIL_ADDRESS,2534,2573,envelope-from=mich.talebzadeh@gmail.com
msg_066,DATE_TIME,382,393,19 Jan 2025
msg_066,LOCATION,487,490,c2c
msg_066,DATE_TIME,835,846,19 Jan 2025
msg_066,DATE_TIME,847,861,12:08:30 +0000
msg_066,DATE_TIME,913,924,19 Jan 2025
msg_066,DATE_TIME,1291,1302,19 Jan 2025
msg_066,DATE_TIME,1303,1311,12:08:25
msg_066,DATE_TIME,1460,1471,19 Jan 2025
msg_066,DATE_TIME,1472,1480,12:08:25
msg_066,DATE_TIME,1695,1706,19 Jan 2025
msg_066,NRP,1745,1751,Debian
msg_066,LOCATION,1950,1968,DKIM_VALID_AU=-0.1
msg_066,LOCATION,2009,2036,RCVD_IN_DNSWL_BLOCKED=0.001
msg_066,PERSON,2222,2242,mx1-he-de.apache.org
msg_066,DATE_TIME,2344,2349,10024
msg_066,DATE_TIME,2385,2396,19 Jan 2025
msg_066,PERSON,2697,2717,mx1-he-de.apache.org
msg_066,DATE_TIME,2794,2805,19 Jan 2025
msg_066,DATE_TIME,2806,2814,12:07:53
msg_066,DATE_TIME,2933,2944,19 Jan 2025
msg_066,LOCATION,3462,3530,q7nRrCV+ukbXAaDBCBG+JBzcuhG041NWc1X8l2nNxwP6I0sOBvrombCmyUs4R1sxv0l+
msg_066,LOCATION,3696,3726,"FC+A==
X-Google-DKIM-Signature"
msg_066,DATE_TIME,4907,4911,2002
msg_066,DATE_TIME,5015,5026,19 Jan 2025
msg_066,DATE_TIME,5251,5262,19 Jan 2025
msg_066,IP_ADDRESS,478,497,2a01:4f8:c2c:d4aa::
msg_066,IP_ADDRESS,2478,2497,2a00:1450:4864:20::
msg_066,IP_ADDRESS,2668,2687,2a00:1450:4864:20::
msg_066,PHONE_NUMBER,256,270,[95.216.194.37
msg_066,PHONE_NUMBER,1395,1411,(116.203.196.100
msg_066,PHONE_NUMBER,2305,2321,[116.203.196.100
msg_066,PHONE_NUMBER,3055,3065,1737288472
msg_066,PHONE_NUMBER,3069,3079,1737893272
msg_066,PHONE_NUMBER,3801,3811,1737288472
msg_066,PHONE_NUMBER,3815,3825,1737893272
msg_066,US_DRIVER_LICENSE,582,588,X25519
msg_066,US_DRIVER_LICENSE,4916,4920,b914
msg_066,US_DRIVER_LICENSE,4923,4925,b0
msg_066,US_BANK_NUMBER,3043,3051,20230601
msg_066,US_BANK_NUMBER,3055,3065,1737288472
msg_066,US_BANK_NUMBER,3069,3079,1737893272
msg_066,US_BANK_NUMBER,3789,3797,20230601
msg_066,US_BANK_NUMBER,3801,3811,1737288472
msg_066,US_BANK_NUMBER,3815,3825,1737893272
msg_066,US_BANK_NUMBER,4995,5008,1737288471979
msg_066,US_DRIVER_LICENSE,885,891,670955
msg_066,US_DRIVER_LICENSE,1263,1269,670886
msg_066,US_DRIVER_LICENSE,3043,3051,20230601
msg_066,US_DRIVER_LICENSE,3055,3065,1737288472
msg_066,US_DRIVER_LICENSE,3069,3079,1737893272
msg_066,US_DRIVER_LICENSE,3789,3797,20230601
msg_066,US_DRIVER_LICENSE,3801,3811,1737288472
msg_066,US_DRIVER_LICENSE,3815,3825,1737893272
msg_066,US_DRIVER_LICENSE,4995,5008,1737288471979
msg_014,EMAIL_ADDRESS,2649,2679,envelope-from=viirya@gmail.com
msg_014,DATE_TIME,383,393,9 Jan 2025
msg_014,PERSON,394,402,06:46:29
msg_014,LOCATION,487,490,c2c
msg_014,DATE_TIME,836,846,9 Jan 2025
msg_014,DATE_TIME,847,855,06:45:03
msg_014,DATE_TIME,914,924,9 Jan 2025
msg_014,DATE_TIME,925,933,06:44:59
msg_014,DATE_TIME,1292,1302,9 Jan 2025
msg_014,DATE_TIME,1303,1311,06:44:58
msg_014,DATE_TIME,1455,1471,"Thu, 09 Jan 2025"
msg_014,DATE_TIME,1472,1480,06:44:58
msg_014,DATE_TIME,1717,1723,"Thu,  "
msg_014,DATE_TIME,1723,1733,9 Jan 2025
msg_014,PERSON,1734,1742,06:44:58
msg_014,NRP,1772,1778,Debian
msg_014,LOCATION,1979,1997,DKIM_VALID_AU=-0.1
msg_014,LOCATION,2020,2047,RCVD_IN_DNSWL_BLOCKED=0.001
msg_014,NRP,2156,2171,SPF_PASS=-0.001
msg_014,DATE_TIME,2442,2447,10024
msg_014,DATE_TIME,2512,2522,9 Jan 2025
msg_014,PERSON,2523,2531,06:44:57
msg_014,DATE_TIME,2909,2915,"Thu,  "
msg_014,DATE_TIME,2915,2925,9 Jan 2025
msg_014,PERSON,2926,2934,06:44:57
msg_014,DATE_TIME,3078,3089,08 Jan 2025
msg_014,LOCATION,3198,3210,t=1736405096
